Algorithm,Chunk count,Completion time
AINA,100,271
AINA,100,268
AINA,100,271
AINA,100,265
AINA,100,274
AINA,100,269
AINA,100,268
AINA,100,269
AINA,100,269
AINA,100,276
AINA,10,262
AINA,10,268
AINA,10,270
AINA,10,270
AINA,10,272
AINA,10,273
AINA,10,274
AINA,10,268
AINA,10,271
AINA,10,272
AINA,1,269
AINA,1,269
AINA,1,271
AINA,1,272
AINA,1,271
AINA,1,266
AINA,1,271
AINA,1,273
AINA,1,270
AINA,1,271
AINA,120,267
AINA,120,272
AINA,120,267
AINA,120,274
AINA,120,271
AINA,120,269
AINA,120,271
AINA,120,270
AINA,120,270
AINA,120,271
AINA,15,272
AINA,15,271
AINA,15,272
AINA,15,270
AINA,15,273
AINA,15,270
AINA,15,275
AINA,15,267
AINA,15,274
AINA,15,274
AINA,20,273
AINA,20,267
AINA,20,273
AINA,20,268
AINA,20,272
AINA,20,269
AINA,20,269
AINA,20,269
AINA,20,269
AINA,20,270
AINA,2,269
AINA,2,268
AINA,2,270
AINA,2,272
AINA,2,270
AINA,2,269
AINA,2,268
AINA,2,272
AINA,2,269
AINA,2,267
AINA,25,267
AINA,25,264
AINA,25,273
AINA,25,267
AINA,25,269
AINA,25,273
AINA,25,270
AINA,25,272
AINA,25,269
AINA,25,274
AINA,3,269
AINA,3,265
AINA,3,268
AINA,3,269
AINA,3,264
AINA,3,269
AINA,3,268
AINA,3,267
AINA,3,272
AINA,3,269
AINA,40,269
AINA,40,266
AINA,40,272
AINA,40,269
AINA,40,270
AINA,40,271
AINA,40,267
AINA,40,269
AINA,40,267
AINA,40,270
AINA,4,272
AINA,4,270
AINA,4,268
AINA,4,270
AINA,4,268
AINA,4,266
AINA,4,270
AINA,4,269
AINA,4,267
AINA,4,271
AINA,50,264
AINA,50,270
AINA,50,269
AINA,50,263
AINA,50,269
AINA,50,270
AINA,50,272
AINA,50,273
AINA,50,274
AINA,50,271
AINA,5,267
AINA,5,269
AINA,5,269
AINA,5,265
AINA,5,270
AINA,5,269
AINA,5,269
AINA,5,262
AINA,5,266
AINA,5,266
AINA,100,476
AINA,100,477
AINA,100,472
AINA,100,473
AINA,100,477
AINA,100,478
AINA,100,477
AINA,100,475
AINA,100,477
AINA,100,472
AINA,10,477
AINA,10,473
AINA,10,475
AINA,10,479
AINA,10,474
AINA,10,474
AINA,10,472
AINA,10,471
AINA,10,473
AINA,10,476
AINA,1,477
AINA,1,473
AINA,1,479
AINA,1,476
AINA,1,474
AINA,1,477
AINA,1,474
AINA,1,476
AINA,1,476
AINA,1,475
AINA,120,473
AINA,120,475
AINA,120,478
AINA,120,475
AINA,120,478
AINA,120,473
AINA,120,479
AINA,120,473
AINA,120,474
AINA,120,476
AINA,15,474
AINA,15,477
AINA,15,476
AINA,15,474
AINA,15,473
AINA,15,475
AINA,15,475
AINA,15,474
AINA,15,476
AINA,15,478
AINA,20,476
AINA,20,474
AINA,20,480
AINA,20,478
AINA,20,477
AINA,20,477
AINA,20,476
AINA,20,474
AINA,20,477
AINA,20,470
AINA,2,475
AINA,2,474
AINA,2,473
AINA,2,475
AINA,2,474
AINA,2,477
AINA,2,476
AINA,2,472
AINA,2,474
AINA,2,477
AINA,25,472
AINA,25,474
AINA,25,476
AINA,25,476
AINA,25,475
AINA,25,478
AINA,25,477
AINA,25,476
AINA,25,475
AINA,25,473
AINA,3,473
AINA,3,470
AINA,3,475
AINA,3,477
AINA,3,477
AINA,3,472
AINA,3,475
AINA,3,473
AINA,3,479
AINA,3,475
AINA,40,474
AINA,40,480
AINA,40,474
AINA,40,476
AINA,40,474
AINA,40,477
AINA,40,476
AINA,40,478
AINA,40,476
AINA,40,474
AINA,4,476
AINA,4,475
AINA,4,474
AINA,4,472
AINA,4,473
AINA,4,474
AINA,4,473
AINA,4,477
AINA,4,476
AINA,4,471
AINA,50,475
AINA,50,478
AINA,50,479
AINA,50,477
AINA,50,478
AINA,50,475
AINA,50,476
AINA,50,477
AINA,50,473
AINA,50,478
AINA,5,477
AINA,5,472
AINA,5,473
AINA,5,473
AINA,5,475
AINA,5,478
AINA,5,476
AINA,5,476
AINA,5,475
AINA,5,478
